category,rating,timestamp,price,platform,location
Sports,2.5,2023-11-18,435.45,Mobile App,Africa
Home,1.2,2024-04-21,354.09,Tablet,South America
Electronics,1.5,2024-08-19,169.34,Web,South America
Beauty,1.1,2023-05-20,207.94,Mobile App,North America
Movies,2.4,2024-12-02,201.75,Web,Asia
Games,3.5,2024-05-06,436.83,Web,Africa
Movies,5.0,2023-03-26,219.82,Web,Australia
Clothing,3.8,2023-01-22,27.77,Web,Asia
Home,1.6,2024-06-19,208.97,Mobile App,Europe
Home,3.5,2023-08-27,251.35,Mobile App,Europe
Movies,2.8,2024-11-05,9.65,Tablet,Asia
Books,2.8,2023-12-12,493.89,Smart TV,Australia
Movies,2.8,2023-10-29,103.61,Tablet,South America
Home,3.3,2024-08-03,151.46,Smart TV,North America
Electronics,3.3,2024-11-25,390.26,Web,Africa
Movies,4.1,2023-08-16,305.5,Smart TV,Europe
Movies,3.7,2024-10-29,342.02,Mobile App,Australia
Electronics,2.2,2024-03-19,21.52,Smart TV,Australia
Movies,2.3,2024-02-22,91.94,Mobile App,Africa
Sports,4.7,2023-06-10,132.2,Tablet,Asia
Books,2.9,2023-03-11,74.67,Mobile App,Australia
Sports,2.5,2024-02-01,11.89,Web,South America
Movies,3.3,2024-10-07,470.44,Web,Australia
Electronics,3.5,2024-07-20,167.36,Mobile App,Australia
Beauty,4.6,2023-10-29,326.37,Web,Europe
Electronics,2.2,2024-05-11,62.48,Mobile App,Africa
Beauty,2.5,2024-12-06,473.26,Tablet,Africa
Home,3.6,2024-05-08,309.75,Smart TV,North America
Beauty,2.8,2023-08-22,428.45,Web,Australia
Games,1.2,2023-10-02,98.96,Web,South America
Music,3.6,2024-08-26,485.69,Web,Asia
Music,1.3,2024-07-13,107.54,Mobile App,Europe
Clothing,4.2,2024-08-25,6.4,Mobile App,Europe
Clothing,1.4,2023-01-19,70.24,Smart TV,Europe
Electronics,1.7,2023-02-15,67.75,Tablet,Africa
Books,2.9,2023-12-29,259.05,Web,South America
Electronics,3.9,2024-10-28,263.12,Tablet,Australia
Beauty,4.4,2024-03-04,344.62,Tablet,Australia
Books,2.3,2023-05-24,37.51,Smart TV,Africa
Games,2.5,2024-08-26,267.63,Tablet,Africa
Books,4.2,2023-04-20,427.13,Mobile App,South America
Music,2.7,2024-04-01,202.37,Web,Asia
Movies,2.5,2023-05-29,344.98,Tablet,North America
Books,1.4,2023-04-01,373.57,Smart TV,Europe
Sports,3.2,2024-11-09,65.5,Smart TV,Australia
Electronics,4.9,2024-08-29,159.66,Web,Africa
Clothing,3.6,2023-08-10,424.4,Smart TV,Africa
Movies,3.3,2024-03-07,423.35,Web,Africa
Clothing,2.1,2023-11-05,461.16,Smart TV,North America
Clothing,3.3,2024-02-07,39.44,Web,North America
Home,2.7,2023-12-08,82.92,Smart TV,Australia
Books,4.5,2023-06-01,82.92,Web,Australia
Beauty,3.6,2024-05-04,305.5,Tablet,Asia
Sports,1.5,2024-03-08,59.89,Tablet,Africa
Music,2.6,2024-08-28,32.12,Mobile App,Asia
Clothing,4.1,2023-10-16,167.42,Web,South America
Clothing,2.5,2024-12-13,118.9,Smart TV,North America
Electronics,2.7,2024-04-07,460.98,Smart TV,Africa
Home,3.8,2024-02-24,148.31,Tablet,North America
Beauty,4.3,2023-12-29,48.62,Web,Europe
Home,3.1,2024-02-02,435.91,Smart TV,Europe
Clothing,1.3,2024-10-02,61.44,Mobile App,Asia
Clothing,1.9,2023-05-22,131.7,Mobile App,Africa
Books,1.7,2024-09-27,249.59,Tablet,Australia
Games,4.5,2024-09-26,161.49,Tablet,North America
Movies,4.2,2024-08-20,32.81,Web,Asia
Electronics,1.2,2023-10-13,42.98,Web,Africa
Home,2.9,2024-07-13,477.34,Web,South America
Music,2.3,2024-04-24,253.18,Web,South America
Games,4.9,2023-03-20,254.75,Mobile App,North America
Beauty,5.0,2024-06-12,263.76,Mobile App,Asia
Movies,2.5,2023-12-05,341.05,Web,Australia
Games,1.4,2024-11-17,196.35,Smart TV,Australia
Clothing,2.3,2024-08-11,333.49,Smart TV,Asia
Books,2.2,2024-01-13,323.53,Smart TV,Europe
Home,3.0,2023-01-11,184.49,Mobile App,Europe
Beauty,1.8,2023-05-13,81.7,Smart TV,North America
Sports,4.3,2024-06-15,23.69,Smart TV,Africa
Home,1.6,2023-06-27,416.52,Mobile App,Australia
Home,2.5,2023-08-24,484.95,Smart TV,Australia
Sports,2.0,2024-04-17,452.47,Mobile App,Asia
Beauty,4.1,2024-01-19,253.94,Tablet,Europe
Clothing,4.5,2023-02-15,322.38,Smart TV,Africa
Sports,4.4,2023-10-11,46.52,Mobile App,Asia
Sports,1.6,2024-03-15,50.4,Mobile App,South America
Electronics,2.7,2024-02-02,253.49,Mobile App,South America
Music,1.1,2023-04-04,420.39,Smart TV,Europe
Movies,4.7,2024-04-20,349.56,Mobile App,Australia
Electronics,4.6,2023-01-12,131.68,Mobile App,Africa
Home,1.4,2023-10-15,122.63,Web,North America
Beauty,1.3,2024-05-18,300.39,Web,Australia
Music,3.9,2023-10-18,217.47,Smart TV,Europe
Clothing,3.7,2023-03-21,264.12,Smart TV,North America
Sports,4.1,2024-05-26,279.31,Tablet,South America
Home,4.9,2023-09-09,374.92,Smart TV,North America
Books,4.1,2023-11-29,71.04,Smart TV,Africa
Clothing,4.3,2024-11-24,234.99,Tablet,Australia
Clothing,1.3,2024-04-05,23.31,Mobile App,North America
Electronics,2.3,2023-11-06,260.11,Tablet,Asia
Music,2.1,2023-02-10,433.57,Smart TV,Asia
Games,2.7,2024-02-06,372.94,Tablet,Asia
Beauty,2.5,2024-06-07,137.03,Web,Australia
Home,3.4,2023-06-26,275.01,Smart TV,North America
Movies,2.2,2024-09-01,360.24,Mobile App,Australia
Beauty,1.2,2023-12-20,309.35,Tablet,Asia
Home,2.5,2024-11-18,84.19,Web,Europe
Beauty,1.1,2023-03-02,121.82,Smart TV,Asia
Electronics,3.4,2024-11-18,227.71,Smart TV,Asia
Books,3.3,2024-06-18,186.64,Smart TV,Australia
Books,1.1,2023-07-02,252.03,Tablet,Africa
Movies,3.8,2023-07-31,498.2,Smart TV,Australia
Books,1.5,2023-03-09,228.76,Tablet,North America
Games,3.8,2024-07-09,273.37,Smart TV,Europe
Games,3.0,2023-04-27,492.64,Mobile App,Europe
Games,3.2,2024-01-05,236.37,Mobile App,Africa
Movies,2.6,2024-04-27,265.22,Tablet,Africa
Games,3.6,2024-03-28,235.59,Smart TV,Europe
Clothing,4.1,2023-05-05,219.15,Web,North America
Movies,1.7,2023-11-19,467.7,Mobile App,Asia
Movies,4.4,2023-09-06,102.17,Smart TV,Europe
Sports,1.4,2024-10-10,88.47,Mobile App,Europe
Electronics,4.3,2023-01-22,45.21,Smart TV,Australia
Home,3.5,2023-01-24,251.53,Smart TV,Australia
Music,4.2,2024-11-24,206.02,Tablet,North America
Beauty,2.7,2024-04-12,105.99,Mobile App,Asia
Games,4.9,2023-05-06,381.53,Web,Asia
Books,2.1,2023-09-03,74.73,Web,Asia
Home,2.0,2023-06-05,407.67,Smart TV,Europe
Sports,2.9,2023-11-04,251.2,Web,South America
Music,1.9,2023-12-20,29.09,Smart TV,South America
Beauty,2.1,2023-01-01,424.35,Tablet,Europe
Games,4.1,2024-01-02,27.39,Web,Africa
Games,3.2,2023-03-09,196.24,Tablet,Africa
Books,1.5,2023-04-02,199.98,Smart TV,Africa
Clothing,1.8,2024-05-28,203.69,Web,North America
Games,4.2,2024-06-07,231.21,Mobile App,Asia
Home,5.0,2023-10-26,298.89,Tablet,Australia
Beauty,4.3,2024-01-05,168.96,Web,South America
Electronics,3.4,2023-09-21,483.7,Mobile App,Australia
Beauty,1.7,2024-09-28,361.99,Tablet,Europe
Books,1.8,2024-03-19,160.28,Mobile App,South America
Sports,4.1,2024-04-19,437.04,Web,Australia
Music,3.2,2024-11-01,241.79,Tablet,Asia
Sports,2.4,2023-12-21,339.55,Smart TV,Africa
Music,2.1,2023-10-25,116.31,Smart TV,Asia
Beauty,2.3,2023-12-16,282.44,Smart TV,Asia
Sports,2.5,2024-02-01,410.1,Mobile App,Asia
Books,2.4,2024-03-20,329.71,Tablet,Europe
Sports,2.1,2024-07-21,349.6,Mobile App,North America
Music,1.2,2024-06-19,116.71,Mobile App,North America
Games,3.9,2023-04-05,342.19,Mobile App,North America
Clothing,2.6,2024-04-24,241.34,Mobile App,Asia
Electronics,4.6,2023-03-25,327.89,Mobile App,Africa
Clothing,2.7,2023-06-22,467.29,Web,South America
Movies,4.5,2023-01-02,152.7,Web,Asia
Sports,3.1,2023-05-10,426.27,Tablet,Asia
Books,2.3,2024-04-06,325.9,Mobile App,North America
Movies,3.3,2023-07-09,91.87,Tablet,South America
Books,2.6,2023-03-31,96.47,Mobile App,South America
Music,1.0,2024-01-20,121.58,Smart TV,Asia
Electronics,2.0,2023-12-27,347.92,Web,Australia
Movies,1.6,2024-11-25,253.75,Smart TV,Australia
Movies,2.5,2023-08-07,113.47,Mobile App,South America
Games,2.7,2024-07-08,456.83,Mobile App,Europe
Books,3.1,2024-06-16,353.36,Web,Africa
Sports,4.6,2023-07-19,288.49,Mobile App,Europe
Sports,2.8,2024-11-19,106.67,Tablet,North America
Electronics,2.8,2024-06-01,210.64,Web,Africa
Movies,3.9,2024-02-02,130.96,Web,Australia
Books,1.2,2023-12-11,351.69,Web,North America
Movies,2.6,2023-05-11,384.08,Tablet,Asia
Home,2.5,2024-11-22,482.25,Mobile App,Australia
Clothing,5.0,2024-01-30,266.78,Mobile App,North America
Beauty,3.7,2024-07-03,214.94,Tablet,Europe
Games,1.6,2023-07-05,469.02,Web,North America
Electronics,2.0,2023-03-02,54.94,Web,South America
Electronics,2.0,2023-02-07,204.12,Mobile App,Africa
Electronics,1.6,2023-10-16,120.91,Smart TV,Africa
Games,1.9,2023-05-19,492.92,Mobile App,South America
Electronics,3.2,2024-08-20,440.46,Mobile App,Australia
Beauty,1.2,2023-12-11,471.09,Tablet,Africa
Home,2.6,2023-10-27,191.35,Tablet,Europe
Clothing,4.2,2023-02-21,283.38,Tablet,Africa
Home,2.0,2023-07-20,168.48,Web,South America
Sports,3.9,2023-07-07,30.51,Tablet,Australia
Electronics,4.5,2023-07-04,403.3,Mobile App,South America
Games,2.2,2023-01-08,109.84,Mobile App,Australia
Beauty,4.7,2024-12-05,304.18,Mobile App,South America
Games,4.1,2024-01-17,235.79,Smart TV,Asia
Sports,4.5,2024-04-14,53.81,Tablet,Asia
Games,2.7,2024-07-22,432.72,Mobile App,North America
Home,2.2,2023-07-12,168.28,Tablet,Africa
Sports,3.6,2024-11-24,172.09,Tablet,Australia
Clothing,3.9,2023-12-19,88.79,Tablet,Europe
Electronics,3.1,2023-03-10,472.87,Web,North America
Music,1.3,2023-05-27,9.53,Tablet,Asia
Beauty,3.6,2023-01-09,8.27,Tablet,North America
Movies,3.1,2023-10-13,13.49,Tablet,Europe
Books,3.1,2023-08-27,100.01,Smart TV,Asia
Home,1.3,2024-02-12,232.2,Mobile App,Australia
Books,3.6,2024-10-19,380.99,Web,South America
Sports,2.9,2024-10-06,9.68,Mobile App,North America
Home,3.6,2023-11-28,285.1,Web,Africa
Music,4.6,2024-12-01,444.34,Tablet,Asia
Books,3.7,2023-10-07,450.16,Web,Europe
Music,3.3,2024-12-22,411.35,Web,Asia
Music,3.3,2024-01-26,340.13,Smart TV,South America
Books,3.0,2023-12-13,31.58,Tablet,Europe
Home,4.9,2023-11-23,19.66,Smart TV,South America
Games,3.2,2024-01-12,218.76,Tablet,North America
Music,3.9,2023-03-18,137.65,Tablet,Australia
Home,2.3,2023-04-12,50.3,Smart TV,South America
Movies,1.4,2023-03-23,97.76,Tablet,Africa
Home,1.4,2023-03-25,180.19,Web,Africa
Games,4.5,2023-01-05,149.46,Tablet,North America
Music,3.3,2023-06-15,344.23,Mobile App,Europe
Movies,3.0,2023-02-26,87.77,Smart TV,South America
Books,2.4,2023-09-02,361.85,Tablet,Africa
Books,1.5,2022-12-30,474.67,Smart TV,Africa
Games,2.8,2024-03-08,408.66,Mobile App,Asia
Music,2.9,2023-06-23,482.46,Smart TV,Asia
Music,2.3,2023-10-07,409.16,Tablet,Asia
Music,3.4,2024-07-04,94.06,Web,Australia
Music,2.8,2023-10-18,416.48,Web,South America
Movies,2.0,2024-10-28,81.3,Tablet,South America
Beauty,3.3,2024-06-23,255.77,Tablet,Africa
Games,3.8,2024-06-25,298.94,Web,North America
Games,1.7,2024-09-11,26.93,Tablet,Asia
Electronics,1.4,2023-08-08,257.78,Mobile App,South America
Beauty,4.1,2024-08-17,346.77,Mobile App,Asia
Books,2.2,2023-03-21,62.45,Mobile App,Asia
Beauty,4.1,2024-06-09,244.05,Tablet,North America
Beauty,2.3,2023-10-27,27.12,Web,North America
Books,3.7,2023-06-10,465.31,Mobile App,Africa
Clothing,2.3,2024-03-04,479.44,Mobile App,South America
Home,2.6,2024-09-12,442.13,Tablet,Africa
Electronics,3.8,2023-07-22,142.78,Web,Africa
Sports,1.7,2023-11-22,102.55,Web,Asia
Games,3.4,2024-09-09,199.31,Web,Asia
Beauty,3.5,2024-11-12,354.46,Smart TV,Africa
Clothing,2.3,2023-08-25,156.16,Mobile App,Asia
Home,2.7,2023-05-14,289.53,Tablet,Europe
Sports,3.8,2024-10-14,465.69,Mobile App,Africa
Movies,1.6,2023-11-11,421.78,Web,Asia
Clothing,1.8,2024-01-21,482.1,Tablet,South America
Beauty,3.0,2023-03-18,284.87,Mobile App,Asia
Music,3.2,2023-06-14,391.47,Tablet,Africa
Books,2.1,2024-07-02,412.52,Smart TV,Africa
Beauty,3.2,2024-03-03,55.7,Mobile App,Asia
Movies,2.4,2023-03-23,222.34,Web,Europe
Games,4.4,2024-09-08,318.22,Mobile App,Africa
Music,4.3,2023-02-22,287.19,Smart TV,Africa
Games,4.9,2023-10-19,148.22,Smart TV,Africa
Home,4.7,2023-10-03,434.19,Mobile App,Australia
Clothing,3.8,2023-09-03,381.93,Tablet,South America
Movies,3.5,2024-01-12,228.74,Web,South America
Movies,3.8,2024-01-05,230.07,Tablet,Asia
Books,3.9,2024-04-06,319.25,Smart TV,North America
Music,4.9,2023-07-28,249.88,Smart TV,Asia
Clothing,3.3,2024-05-03,395.21,Web,North America
Beauty,1.1,2023-06-03,223.44,Web,South America
Clothing,4.5,2023-10-29,83.69,Smart TV,North America
Books,2.5,2024-10-18,86.93,Tablet,Australia
Music,2.7,2023-03-27,353.33,Web,Europe
Clothing,3.4,2024-06-07,341.59,Web,North America
Books,5.0,2024-02-29,348.55,Tablet,North America
Books,3.9,2023-04-07,56.08,Smart TV,Asia
Clothing,3.6,2024-11-16,75.71,Web,Africa
Games,3.9,2024-09-27,375.39,Tablet,Africa
Music,1.3,2023-04-05,74.31,Web,Africa
Home,2.3,2023-05-16,127.65,Web,Europe
Movies,4.1,2024-11-30,18.28,Smart TV,Europe
Sports,1.8,2024-01-29,151.29,Web,Europe
Books,2.0,2024-10-07,299.0,Web,Asia
Home,4.4,2024-07-28,213.33,Mobile App,South America
Books,1.1,2023-08-01,24.71,Web,South America
Sports,4.1,2024-03-01,352.4,Web,Australia
Clothing,2.1,2023-11-06,44.12,Mobile App,Europe
Home,3.3,2024-10-19,342.12,Web,Asia
Music,1.2,2023-03-22,462.69,Web,South America
Movies,3.7,2024-10-27,371.63,Web,North America
Electronics,1.7,2023-12-14,263.89,Smart TV,Europe
Movies,3.9,2023-04-23,386.86,Web,Asia
Sports,1.3,2024-12-22,487.65,Web,South America
Games,1.2,2024-07-26,87.61,Mobile App,Asia
Books,1.9,2024-05-28,6.27,Web,Europe
Games,2.5,2023-05-26,93.59,Web,Africa
Games,2.0,2023-11-16,139.27,Web,Africa
Sports,3.7,2023-02-15,93.78,Web,South America
Beauty,4.5,2023-11-07,167.01,Tablet,North America
Movies,3.3,2023-10-31,371.09,Mobile App,South America
Beauty,5.0,2023-07-12,367.57,Mobile App,Europe
Home,1.1,2024-06-30,176.48,Web,Asia
Home,4.4,2023-11-03,56.45,Mobile App,South America
Electronics,4.9,2023-05-18,357.27,Web,North America
Sports,2.7,2024-01-09,231.94,Web,Africa
Clothing,3.5,2024-01-31,42.04,Web,South America
Movies,2.0,2023-11-11,463.39,Tablet,Australia
Beauty,2.1,2023-03-10,472.06,Mobile App,Africa
Books,1.7,2024-04-14,160.45,Web,Africa
Music,2.8,2024-04-11,136.18,Web,North America
Movies,4.3,2024-12-06,303.63,Mobile App,Asia
Music,4.9,2024-02-02,259.16,Smart TV,Asia
Home,4.4,2024-07-15,375.3,Mobile App,North America
Clothing,1.5,2023-02-25,416.03,Mobile App,Europe
Home,2.5,2024-09-29,469.1,Web,Africa
Books,1.1,2023-02-28,102.89,Tablet,Europe
Games,1.5,2024-04-09,30.07,Tablet,Australia
Electronics,2.5,2024-03-04,90.54,Mobile App,Europe
Beauty,4.5,2023-01-28,308.98,Mobile App,Australia
Home,4.5,2024-04-27,35.18,Smart TV,South America
Music,3.6,2024-06-14,128.33,Web,South America
Sports,4.1,2023-12-11,456.78,Smart TV,South America
Electronics,2.3,2023-08-05,19.51,Smart TV,North America
Games,4.1,2023-08-19,487.12,Web,Europe
Sports,4.3,2023-02-19,383.2,Mobile App,Africa
Clothing,1.7,2024-08-21,162.41,Smart TV,Africa
Games,4.8,2024-07-23,75.34,Mobile App,South America
Clothing,3.0,2023-03-26,32.8,Mobile App,North America
Electronics,2.3,2024-09-12,104.72,Mobile App,Asia
Games,1.2,2023-05-24,295.37,Mobile App,North America
Games,4.8,2024-01-10,353.75,Tablet,Africa
Movies,2.3,2023-06-03,367.51,Tablet,Australia
Games,1.7,2024-07-21,348.31,Smart TV,Europe
Clothing,2.5,2024-11-28,150.79,Mobile App,Australia
Home,4.4,2024-07-27,21.03,Smart TV,Africa
Books,4.7,2023-05-17,168.93,Web,Europe
Clothing,3.5,2023-03-24,411.72,Smart TV,South America
Music,2.0,2023-03-03,178.49,Web,Australia
Home,2.8,2024-02-26,484.71,Tablet,South America
Sports,2.5,2024-04-27,395.42,Mobile App,Europe
Electronics,2.2,2023-11-15,134.26,Web,North America
Home,1.6,2023-03-10,275.79,Web,Asia
Beauty,3.8,2024-03-09,471.51,Mobile App,Africa
Electronics,1.4,2023-07-22,487.33,Tablet,Australia
Sports,2.1,2023-10-08,152.21,Web,North America
Sports,4.4,2023-05-30,31.98,Web,South America
Beauty,1.8,2023-01-19,107.44,Smart TV,North America
Books,2.2,2024-02-04,238.12,Smart TV,North America
Clothing,2.5,2024-01-18,187.85,Tablet,North America
Beauty,2.1,2023-09-25,284.3,Mobile App,Australia
Games,4.2,2024-02-20,485.5,Mobile App,Africa
Home,4.3,2024-02-25,482.99,Tablet,Africa
Movies,1.3,2023-01-28,253.54,Mobile App,North America
Clothing,4.9,2023-07-09,67.46,Tablet,North America
Clothing,4.3,2023-09-14,163.28,Web,North America
Home,3.2,2023-10-02,262.25,Web,Australia
Home,1.5,2023-05-26,78.36,Web,North America
Books,4.1,2024-06-24,440.67,Tablet,Asia
Beauty,3.3,2024-04-21,23.55,Smart TV,South America
Home,1.2,2023-11-28,346.8,Web,Australia
Movies,4.6,2023-01-13,172.24,Smart TV,Asia
Beauty,4.4,2024-11-24,53.62,Mobile App,Europe
Beauty,4.1,2023-11-17,138.36,Tablet,Africa
Beauty,1.8,2024-02-13,371.77,Smart TV,North America
Clothing,1.3,2024-12-19,255.86,Mobile App,Africa
Clothing,1.8,2023-07-17,419.3,Mobile App,North America
Games,3.8,2023-09-30,187.33,Tablet,Africa
Books,3.7,2023-08-28,189.37,Tablet,Europe
Sports,2.4,2023-06-09,419.64,Smart TV,Australia
Electronics,2.5,2023-06-08,427.64,Mobile App,Europe
Music,2.1,2024-02-16,259.07,Web,South America
Clothing,3.4,2023-01-01,115.77,Smart TV,Australia
Home,4.4,2024-04-07,129.74,Tablet,Asia
Home,3.3,2022-12-31,258.2,Smart TV,Africa
Movies,2.2,2023-04-13,243.46,Smart TV,Asia
Movies,2.0,2024-12-21,476.33,Smart TV,Europe
Music,4.6,2024-08-29,205.03,Smart TV,Australia
Electronics,3.6,2023-10-22,133.42,Tablet,South America
Electronics,3.3,2024-07-31,408.93,Smart TV,Australia
Sports,3.6,2024-04-24,453.73,Smart TV,Africa
Clothing,4.4,2024-07-17,94.66,Web,South America
Movies,3.9,2024-07-18,382.64,Mobile App,Australia
Books,1.9,2023-08-09,373.38,Smart TV,South America
Movies,3.3,2024-04-11,426.35,Tablet,North America
Books,2.9,2023-07-11,252.74,Tablet,Africa
Electronics,4.5,2023-05-27,73.0,Mobile App,Asia
Beauty,1.6,2023-06-26,390.58,Tablet,Asia
Electronics,1.0,2023-09-30,108.64,Mobile App,Africa
Books,1.5,2024-03-12,318.58,Tablet,South America
Electronics,1.2,2023-07-16,366.68,Web,Asia
Electronics,3.7,2024-09-25,368.13,Mobile App,Australia
Clothing,1.4,2024-05-22,296.39,Mobile App,North America
Movies,2.8,2024-06-08,300.2,Smart TV,South America
Beauty,2.4,2023-07-04,86.62,Tablet,North America
Clothing,1.8,2023-01-15,296.9,Mobile App,North America
